match,home_team,away_team,market,player_name,line,over_price,agency,under_price
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,29.5,2.75,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,39.5,3.7,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,49.5,4.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,9.5,1.54,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,19.5,2.35,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,29.5,3.5,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,39.5,4.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,49.5,6.5,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,9.5,1.54,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,19.5,2.35,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,29.5,3.5,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,39.5,4.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,49.5,6.5,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,9.5,1.72,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,19.5,2.9,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,29.5,4.6,Pointsbet,NA
